analyst_id,n_analyses,n_peer_evals,analyses_payment,peer_eval_payment,sum_payment
018OL,1,4,100,40,140
03LDB,1,0,100,0,100
03TOT,1,4,100,40,140
08UM9,1,0,100,0,100
0EING,1,0,100,0,100
0G5CG,1,5,100,50,150
0GFYM,1,0,100,0,100
0HC9H,1,3,100,30,130
0OQ4O,1,0,100,0,100
0RNST,1,0,100,0,100
0XXW0,2,0,200,0,200
0XXWZ,1,0,100,0,100
0Z3JN,1,0,100,0,100
0ZB46,1,0,100,0,100
0ZI5H,1,5,100,50,150
129PL,1,0,100,0,100
12HIO,1,0,100,0,100
13H14,1,0,100,0,100
1BQRY,1,0,100,0,100
1CFHB,1,0,100,0,100
1CP3G,1,0,100,0,100
1DLDB,1,2,100,20,120
1FPG6,1,0,100,0,100
1FZ2C,1,0,100,0,100
1HC64,1,0,100,0,100
1ISG4,1,0,100,0,100
1J195,1,0,100,0,100
1K9SV,1,0,100,0,100
1MFRV,1,0,100,0,100
1XA8N,1,0,100,0,100
1Y6IS,1,0,100,0,100
204TY,1,0,100,0,100
25FM1,1,2,100,20,120
25N5D,1,0,100,0,100
2898B,1,0,100,0,100
2KUPE,1,0,100,0,100
2LKVO,1,0,100,0,100
2XEYJ,1,3,100,30,130
2XTEW,1,0,100,0,100
2YBZF,1,0,100,0,100
2YGYF,1,0,100,0,100
30OYF,1,0,100,0,100
30S6Z,1,0,100,0,100
3682J,1,0,100,0,100
3AQDX,2,0,200,0,200
3B7KH,1,0,100,0,100
3IYFJ,1,5,100,50,150
419LV,1,6,100,60,160
41LW9,1,0,100,0,100
456AD,1,0,100,0,100
456AG,1,0,100,0,100
456AP,1,0,100,0,100
456AQ,1,0,100,0,100
4COYD,1,5,100,50,150
4GPHF,1,3,100,30,130
4JKR7,1,0,100,0,100
4NCPI,1,0,100,0,100
4O1N4,1,0,100,0,100
4ST8R,1,0,100,0,100
50PCE,1,0,100,0,100
53BDN,2,0,200,0,200
543AW,1,0,100,0,100
543X6,1,0,100,0,100
56TXB,1,3,100,30,130
58A4L,1,2,100,20,120
5AV43,2,5,200,50,250
5BSO9,1,0,100,0,100
5EDOR,1,5,100,50,150
5GT7K,1,5,100,50,150
