paper_id,original_type_of_statistic,original_statistic_report,original_degrees_of_freedom_1,original_degrees_of_freedom_2,original_model_sample_size,original_correlation_coef,original_cohens_d,original_effect_size_available,original_reproduction_outcome
Bigoni_Econometrica_2015_VBx1,F,82.3082,1,7,192,0.96,6.8581,Yes,(1) successful reproduction - values correspond with original paper
Fehr_AmEcoRev_2011_gdlO,z,-2.0226,NA,NA,5,-0.8917,3.9402,Yes,(1) successful reproduction - values correspond with original paper
Wilfahrt_WorldPolitics_2018_k7wj,z,6.4308,NA,NA,14168,0.054,0.1081,Yes,(1) successful reproduction - values correspond with original paper
Christensen_EurJournPersonality_2018_8R9d,t,-65.69,1998,NA,2000,-0.8268,2.9392,Yes,(2) reproduction unsuccessful but the test statistic information provided in the paper is sufficiently detailed - no reproduction needed
Wlezien_CompPolitStu_2017_ByBk,t,-3.9833,13,NA,16,-0.7414,2.2095,Yes,(1) successful reproduction - values correspond with original paper
Petersen_Cognition_2017_yJwG,t,-4.7079,27,NA,28,-0.6714,1.8121,Yes,(1) successful reproduction - values correspond with original paper
LINDQVIST_AmPoliSciRev_2010_OeGv,t,-3.5133,30,NA,33,-0.5399,1.2829,Yes,(1) successful reproduction - values correspond with original paper
Liang_JournPoliEco_2018_q8xv,t,-5.7122,81,NA,393,-0.5359,1.2694,Yes,(1) successful reproduction - values correspond with original paper
Linkenauger_PsychologSci_2009_7WjP,t,-2.1232,14,NA,15,-0.4935,1.1349,Yes,(1) successful reproduction - values correspond with original paper
Barreca_JournPoliEco_2016_J999,t,-3.9098,48,NA,26411,-0.4915,1.1287,Yes,(1) successful reproduction - values correspond with original paper
Ku_JournEnvPsych_2014_YpZZ,t,-4.8728,79,NA,81,-0.4807,1.0965,Yes,(1) successful reproduction - values correspond with original paper
Bruner_ExpEco_2017_amYY,t,-4.5772,77,NA,79,-0.4625,1.0432,Yes,(1) successful reproduction - values correspond with original paper
Baker_WorldPolitics_2011_9lBL,t,-2.5394,27.86,NA,48,-0.4335,0.9622,Yes,(1) successful reproduction - values correspond with original paper
Menaldo_AmJourPoliSci_2016_Vx4e,z,-15.2942,NA,NA,2682,-0.2872,0.5996,Yes,(1) successful reproduction - values correspond with original paper
Bursztyn_AmEcoRev_2017_VB9K,t,-2.2184,58,NA,60,-0.2797,0.5826,Yes,(1) successful reproduction - values correspond with original paper
Marshall_BritJournPoliSci_2015_GOYb,z,-3.7533,NA,NA,202,-0.26,0.5384,Yes,(1) successful reproduction - values correspond with original paper
Rovny_WorldPolitics_2014_AQgj,t,-11.7447,2460,NA,2471,-0.2304,0.4736,Yes,(1) successful reproduction - values correspond with original paper
Altmann_JournLabEco_2012_WLkV,z,-2.5365,NA,NA,124,-0.2266,0.4653,Yes,(1) successful reproduction - values correspond with original paper
Bingham Powell_CompPolitStu_2009_0PZl,z,-4.119,NA,NA,328,-0.2246,0.4609,Yes,(1) successful reproduction - values correspond with original paper
Axt_JournExpSocPsych_2018_zK2,t,-5.7872,855,NA,856,-0.1942,0.3958,Yes,(1) successful reproduction - values correspond with original paper
Platt_Boustan_AmEcoJourn_2012_PVQK,t,-2.1393,117,NA,4352,-0.194,0.3955,Yes,(1) successful reproduction - values correspond with original paper
Brancati_JournConflictRes_2013_V0PA,z,-1.8342,NA,NA,94,-0.1899,0.3869,Yes,(1) successful reproduction - values correspond with original paper
GROSSMAN_AmPoliSciRev_2014_LyWB,z,-3.9515,NA,NA,428,-0.1894,0.3857,Yes,(1) successful reproduction - values correspond with original paper
