task1_timestamp,analyst_id,paper_id,current_position,current_position_grouped,education_level,analyst_discipline,primary_discipline,keywords,years_of_experience,analysis_frequency,expertise_self_rating,familiar_with_paper,communication_check,task1_software,task1_analysis_report,task1_conclusion,task1_categorisation,confidence_in_approach,data_suitability,task1_submission_number,task1_categorisation_plotting
2022.03.15. 17:55:44,6YWS5,Linkenauger_PsychologSci_2009_7WjP,Assistant Professor,Assistant Professor,Doctoral degree or equivalent,Psychology,Psychology,"methodology, learning, software",12,Once every two weeks,7,No,No,R,"The provided dataset included the actual and perceived lengths of 30 participants' right and left arms, as well as the handedness of each participant. I verified the accuracy of the data by reproducing one of the original figures in the paper. Because the target claim is specifically about right-handed participants, I restricted my analysis to the 15 right-handed participants. I computed the ratio of perceived arm length / actual arm length (this was provided in the dataset, but I recalculated it just to avoid any errors that may have existed in the original calculation), and then conducted a paired-samples t-test to see if there was a difference in this ratio for the left and right arms. There was no significant difference between the estimates of the left and right arm, t(14) = 2.1232, p = 0.05205.",There is no significant difference between right-handed participants' estimates of the length of their right and and left arms.,The results do not show evidence for or against the relationship/effect as described in the claim provided in your task,5,4,4,No effect/inconclusive
2022.03.18. 11:49:09,GOQ0F,Steinmetz_JournPerSocPsy_2016_E4Am,Assistant Professor,Assistant Professor,Doctoral degree or equivalent,Psychology,Psychology,"semantic memory, sensitivity analyses, design analyses",10,Once a week,7,No,No,"R, SPSS","Exclusion criteria
The authors note that “Because participants were asked to finish the whole bag, as the majority of participants did, the served portion and the consumed portion were nearly identical; thus, we only asked participants about the size of the portion they ate.” However, some participants ate only a small portion, and one participant did not even eat anything. The latter participant’s response on the “How big was the food portion” response was 6 on a 9-point scale (1 = very small, 9 = very big). In other words, the question was ambiguous, and only (indirectly) measures recollection of the size of the portion they ate, when participants effectively ate most or all of the portion. Consequently, it makes sense to exclude those participants from the analyses. Hence, in addition to the no exclusion approach taken by the authors, the present analyses also considered two alternative exclusion criteria. The most stringent one removes all participants who did not finish the entire portion. Specifically, if the leftovers weighed more than 0 grams, participants were excluded from the analyses. This led to the exclusion of 12 participants, which is quite substantial. A less stringent criterion involved removing only participants who indicated having eating “a bit” or “none” of the portion (3 participants; the other participants indicated having eaten “most” or “all” of the food).  
Type of test
The authors performed Student’s t-test on the variable indicating the size of the food portion (Q27.0 in the dataset) with condition (camera or no-camera) as the grouping variable. However, the homogeneity of variance assumption may be violated (Levene’s test for the entire sample without any exclusions yielded a statistically significant p-value), hence Welch’s t-test was performed as well. Furthermore, rather than using condition as a predictor, one might also use participants’ responses to the manipulation check: “How observed did you feel while eating the food?” (1 = not at all, 9 = very much). After all, participants in the no camera condition may still suspect they were being observed; one participant even explicitly mentioned this to the experimenter. To examine whether participants’ feeling of being observed was related to their perception of the size of the portion, a Kendall’s tau-b correlation test was performed (see analysis script for further details). All tests were one-tailed, in contrast to the original, because the hypothesis appears to be directional: people recalling eating larger portions when they feel being observed.
Crossing exclusion criteria (no exclusion, only participants whose leftovers weighed 0 grams, and only participants who indicated having eaten “most” or “all” of the food) with type of test (Student’s t-test, Welch’s t-test, and Kendall’s tau-b correlation test) yielded nine unique results (see table [can't insert table here I think]). 
The results show significant p-values for all tests except when the more stringent exclusion criterion is applied and participants’ own perception of being observed is used as a predictor, rather than the actual condition they were in (camera vs no-camera). One could argue that the latter combination may offer the closest test of the hypothesis in question, though (i.e., ""feeling observed increases an individual’s perception of how much he or she has eaten""). It directly taps into people’s perception of being observed, whereas the camera/no-camera manipulation did not always achieve its goal (see above). Furthermore, the more stringent criterion is the only way to assess the claim that “participants who were observed while eating … recalled eating a larger portion than unobserved participants” [emphasis added]. Indeed, because the question “How big was the food portion” was ambiguous, it only gauges participants’ recollection of the portion they ate, when they in fact ate the entire portion (i.e., weight of leftovers = 0). The more stringent criterion leads to a lower sample size, which in general increases Type 2 error rate, yet the use of a directional test, compared to the original two-tailed test, does compensate for that. Note though that the null effect does not provide evidence in favor of the null hypothesis, and the difference with the outcomes of the other tests should not be exaggerated.
That being said, there are methodological issues or questions that one can not retrospectively address by doing certain analyses. For example, from the experimenters’ comments it becomes clear that the 3 minute time limit to eat the snack was not always strictly applied. If eating time influences perception of the portions (e.g., people might perceive the size of the portion to be larger, when it takes more time to finish the portion), this could substantially impact the results. Furthermore, it is not entirely clear whether the experimenters were blind to the goal of the study. If not they could have subtly affected the outcomes.  
In sum, the conclusion of this re-analysis is that we remain agnostic with regard to the critical claim of the current study.","In sum, the conclusion of this re-analysis is that we remain agnostic with regard to the critical claim of the current study.",The results do not show evidence for or against the relationship/effect as described in the claim provided in your task,4,2,5,No effect/inconclusive
2022.03.18. 18:08:17,LYCQM,Pastötter_Cognition_2013_EQxa,Assistant Professor,Assistant Professor,Doctoral degree or equivalent,Psychology,Psychology,"judgment, decision making, morality",12,Less than once a month,8,No,No,R,"I used a logistic regression with the decision as the dependent variable and mood as a predictor. I did not preprocess the data any way. I tested whether manipulation of mood influences the decision to push in the active-frame condition. The logistic regression showed that participants were less likely to say that they would push the man in the negative mood condition in the active-frame condition, t(198) = -3.55, p < .001, OR = 0.83, 95% CI [0.74, 0.92].",Participants were less likely to say that they would push the man in the negative mood condition in the active-frame condition.,The results show evidence for the relationship/effect as described in the claim provided in your task,5,5,6,Same conclusion
2022.03.20. 17:00:03,Q9PO7,Hou_ChildDev_2017_YOXl,Assistant Professor,Assistant Professor,Doctoral degree or equivalent,Psychology,Psychology,Social psychology; personality psychology; Educational psychology,9,Once every two weeks,8,No,No,"SPSS, MPlus","Method.
       I will first conduct descriptive tests for statistical assumptions (skewness and Kurtosis) to check for normality. Next, I evaluated missing data bias by conducting the Little's Missing Completely at Random (MCAR) Test. Finally, I will run a path model and test for the hypothesized path model (see Hou et al., 2017, p. 320). A path model will be used because the hypothesized model involves two outcome variables and two serial mediators, and the hypothesized model considers both actor and partner effects on children. Path analysis can estimate these effects simultaneously. I will test this model without controlling for any covariates (e.g., age, gender etc.) because I hope to simply examine the hypothesized model from the original paper. If the path model yields a good fit to the data, I will test the hypothesized indirect effects 5,000 bootstrapping resamples. Specifically, I will test the two hypothesized indirect links: Paternal perceived discrimination at Wave 1--> paternal depressive symptoms at Wave 1 --> Maternal hostility toward adolescents at Wave 2 --> adolescent's adjustment at Wave 2 (depressive symptoms and delinquent behaviour, respectively). And 5,000 bootstrap resampling will be applied to account for potential bias in the indirect effects. 
       The path analysis will be conducted using Mplus, which follows the original paper. Mplus uses the full information maximum likelihood estimation method to handle missing data, which enables the full usage of all available data in the path analyses. Maximum likelihood estimation with robust standard errors (MLR) was used, which can also address the potential non-normality of variables (i.e., depressive symptoms and delinquent behaviours) in the model. In path analyses, both direct and indirect effects are estimated simultaneously. Inferences for the indirect effects were estimated using bootstrap resampling.
Analysis
	First, the normality assumption for the outcome variables (i.e., depressive symptoms and delinquent behaviours) is not met (skewness = .1.01 and 2.28, SEM = .13 and 13; kurtosis = 0.83 and 10.24, SEM = .26 and .26). Specifically, the data is heavily tailed with extreme outliers as most students reported a low level of delinquency. Nevertheless, this form of non-normality is accommodated MLR estimation used in Mplus (B. Muthén et al., 2016). 
         Next, Little's MCAR test for missing data (using all available data) shows that the missing is not at random (Chi-Square = 907.771, df = 815, p = .013), and it is mainly driven by parents' age. When parents' age was not included from the missing data analysis, the Little's MCAR shows that the missing is random (Chi-Square = 663.278, df = 641, p = .263). Given that parents' age is not part of the main analysis, this missing pattern (of parents' ages) is acceptable for testing the hypothesized model, and the missing data will be handled using full information maximum likelihood (FIML) in the path model.
Finally, I tested the hypothesized path model using Mplus. The model fit the data only well, Chi-Square (20) = 17.63, p = .612, comparative fit index (CFI) = 1.00, root mean square error of approximation (RMSEA) = .000 [.000, .036], standard root-mean-square residual (SRMR) = .025. Next, I tested the hypothesized indirect effects. First, I tested this indirect link: paternal perceived discrimination Wave 1 --> paternal depressive symptoms Wave 1 --> Maternal hostility toward adolescents Wave 2 --> adolescent's depressive symptoms Wave 2. This indirect effect was significant, b =  0.019, SE = 0.009, p = .034, 95% CI = [0.005, 0.040]. Second, I tested this indirect link: paternal perceived discrimination Wave 1 -->paternal depressive symptoms Wave 1 --> Maternal hostility toward adolescents Wave 2 -->adolescent's delinquent behaviours Wave 2. This indirect effect was also significant, b = 0.007, SE = .004,  p = 0.045, 95% CI = [0.001, 0.016].","The results supported the original hypothesis, such that paternal perceived discrimination at Wave 1 indirectly predicted adolescent's adjustment (depressive symptoms and delinquent behaviors) at Wave 2 via paternal depressive symptoms at Wave 1 and maternal hostility toward children Wave 2.",The results show evidence for the relationship/effect as described in the claim provided in your task,5,5,7,Same conclusion
2022.03.24. 11:34:43,E0676,Steinmetz_JournPerSocPsy_2016_E4Am,Post-Doc Researcher,Post-Doc Researcher,Doctoral degree or equivalent,Psychology,Psychology,"human-technology interaction, metacognition, individual differences",6,Once a month,8,No,No,R,"1) I renamed the relevant variables in the provided SPSS file 
(V1 = ID
Q33 = Cam
Q34 = NoCam
Q27.0 = Foodport).
2) I exported the SPSS file to a csv file that can be further used in R.
3) I opened the csv file in R Studio (R version 4.1.0). No data preprocessing was necessary as the data was already in neat format.
4)I checked the descriptive statistics
Camera N=39, M= 4.85, SD= 1.94;
No Camera N= 43, M=4.00, SD=1.53
5) I checked the preconditions for an independent t-Test (outliers, normality, homogeneity)
6) As no preconditions were violated, I performed an indpenden t-Test to test the hypothesis. The hypothesis is about comparing a dependent variables in two groups, thus the t-Test is the proper (standard) procedure to test this hypothesis.
In addition to the t-statistics, I calculated Cohens d as an effect size.
Here are the results:
t(80) = 2.20, p = .030, d= .49","Participants who were observed by a camera while eating chips, reported a larger eating proportion than participants who where not observed while eating.",The results show evidence for the relationship/effect as described in the claim provided in your task,5,4,8,Same conclusion
2022.03.24. 16:09:45,V7XQ8,Savani_PsychologSci_2010_88xa,Professor,Professor,Doctoral degree or equivalent,Psychology,Psychology,"Social, Evolutionary, Metamethods",20,Once every two weeks,7,No,No,SPSS,"The first step of the analysis was to import the data into SPSS. Given the ratio nature of the DV and the nominal nature of the IVs I determined that ANOVA was the appropriate analysis. From there, I ran an ANOVA with ""numactions"" as the DV and ""culture"" and ""condition"" as IVs.  I found that both the main effect of culture  (F (1, 123) =10.70, p = .002, partial eta = .075) and the main effect of condition was significant  (F (1, 123) =6.67, p = .011, partial eta = .051). I also found that the interaction of culture and condition was significant  F (1, 123) =6.12, p = .015, partial eta = .047.","I concluded that the authors conclusion that ""We found that people in U.S. American contexts ... are more likely than those in Indian contexts to construe … other individuals’ behaviors as choices"" is supported by the evidence",The results show evidence for the relationship/effect as described in the claim provided in your task,5,5,9,Same conclusion
2022.03.27. 9:53:16,WJVLO,Pastötter_Cognition_2013_EQxa,Doctoral Student,Doctoral Student,Master's degree or equivalent,"Psychology, Computer Science/Statistics/Data Science",Psychology,Meta-analysis; Bayesian; Bayes factors,6,2-3 times a week,8,No,No,JASP,"My goal was to assess the following claim: ""In the active-frame condition, utilitarian responding was more likely in positive moods than in negative moods (p. 374)"". Therefore, I selected only the active-frame condition trials for the following analyses. 
To assess whether utilitarian responding (reported as a binary variable) was more likely in positive (16/100) than negative mood (41/100) condition, I performed a Bayesian A/B test. First, I specified an informed one-sided hypothesis corresponding to my prior expectation of small effect sizes, i.e, the most likely odds ratios (OR) between 1 and 1.5 by specifying a normal distribution with mean = 0.22 and sd = 0.10 on log(OR) scale and truncated at zero (which is centered at OR = 0.25 with ~95% prior probability allocated to OR 1-1.5). Second, I assessed the robustness of my results via a one-sided test with unit information prior, normal distribution with mean = 0 and sd = 2 on log(OR) scale and truncated at zero. Third, I performed a sensitivity analysis to visually assess what is the amount of evidence for different one-sided hypotheses (with normal distributions specified with means ranging from 0-0.5 and sds ranging from 0.01-2 on log(OR) scale). (In all analyses, I specified a point null hypothesis at log(OR) = 0).

I found strong evidence in favor of the informed directional hypothesis of a small effect of more utilitarian responding in positive moods than in negative moods, BF_+0 = 19.11. Furthermore, the data provided even stronger evidence in favor of the directional unit information hypothesis, BF_+0 = 677.80. The sensitivity analysis found evidence in favor of the specified alternative hypotheses, most of which received a considerable amount of evidence.",I found evidence supporting the claim that utilitarian responding was more likely in positive moods than in negative moods (in the active-frame condition).,The results show evidence for the relationship/effect as described in the claim provided in your task,5,3,10,Same conclusion
2022.03.28. 16:44:15,FWSCE,Linkenauger_PsychologSci_2009_7WjP,Doctoral Student,Doctoral Student,Master's degree or equivalent,Psychology,Psychology,"learning, representations, cognition",4,2-3 times a week,8,No,No,R,"Data were analyzed using the R statistical language with the 'tidyverse', 'psych', and 'haven' packages. First, data were converted into long form (one row per observation) in order to facilitate analysis. First, a repeated measures ANOVA was conducted to compare arm length ratios between left and right handed participants. There was no significant main effect of arm F(1,28) = 1.3708, p = 0.25155, but there was a significant interaction between arm and handedness F(1,28) = 4.7414, p = 0.03803, partial_eta_squared = 0.14.

A separate one-tailed, paired-samples t-test was conducted for both right and left handed participants. For left-handed participants, there was no significant difference in the arm length estimates for left and right arms t(14) = 0.81838, p = 0.2134. For right-handed participants, however, there was a significant difference between arm-length estimates between the left and right arms, underestimating the length of their left arm more than the length of the right arm, t(14) = 2.1232, p = 0.02602. 

To compare accuracy, a one sample t-test was used to compare the ratios to perfect accuracy (ratio of 1). For right-handed participants, they were more accurate in perceiving the length of their right arm t(14) = 0.85174, p = 0.4087, while the left arm tended to be estimated as shorter than the true length t(14) = 2.3837, p = 0.03185, partial_eta_squared = 0.29. Left-handed participants were accurate in estimating both arms-- right t(14) = 1.0593,  p = 0.3074, left t(14) = 0.30937, p = 0.7616.","There is evidence that left and right handed individuals differ in their perception of the length of their arms. Left handed individuals are more accurate in perceiving the length of both arms, while right-handed individuals tend to underestimate the length of their left arm. In terms of accuracy, left-handed individuals are more accurate in their estimates of their arm lengths overall.",The results show evidence for the relationship/effect as described in the claim provided in your task,4,4,11,Same conclusion
2022.03.28. 17:49:19,ELZ90,Linkenauger_PsychologSci_2009_7WjP,Post-Doc Researcher,Post-Doc Researcher,Doctoral degree or equivalent,Psychology,Psychology,"EEG, working memory, learning",12,Daily,8,Yes,No,R,"Claim from the paper: ""When looking at each arm and hand individually, right-handed participants perceived their right arms ... to be longer than their left arms...""
I tested the claim by applying a one-tailed paired sample t-test comparing the ratio between perceived/actual left and right arms in right-handed individuals. Comparing the ratios instead of raw perceived lengths helped to adjust for actual arm lengths. As an additional confirmation a comparison of raw perceived length values instead of ratios yielded a similar result.","The hypothesis was confirmed statistically (t(14) = 2.12, p = 0.026, dz = 0.57): the right-handers indeed perceive their right arms to be longer than the left arms. A comparison of raw arm lengths resulted in a similar outcome (t(14) = 2.38, p = 0.016, dz = 0.64).",The results show evidence for the relationship/effect as described in the claim provided in your task,5,5,12,Same conclusion
2022.03.29. 17:41:00,GS2H9,Ku_JournEnvPsych_2014_YpZZ,Post-Doc Researcher,Post-Doc Researcher,Doctoral degree or equivalent,Psychology,Psychology,"open science, social psychology, environmental psychology",8,Once a week,6,No,No,Jamovi,"Pre-processing: I followed the procedure described in the article by creating an intrinsic-extrinsic score (I/E score) by 1) calculating the grand mean value across all 19 item (on ratings-scales from 1 ""not at all important"" to 5 ""very important""), and 2) subtracting that mean from each item. 3) I reverse-scored the external items (by multiplying them with -1) and then calculated the mean across all items. This yielded the same I/E score as in the paper. I proceeded by calculating an intrinsic scale (9 items), the extrinsic scale (10 items), and the the Willingness to Pay for the environemnt scale (WTP, 3 items, one reversed scored, ratings scales: 1 ""strongly disagree"" to 5 ""strongly agree"") all based on the mean of their respective item. Reliability was sufficient for all scales, Cronbach's Alphas > 0.70. Additionally, there was a single dichotomous item measuring the preference for the environment (1) vs economic growth (2), called Aspiration index.
Hypothesis: The higher participants' intrinsic values (vs. extrinsic values), the more she is willing to pay for the environment.
Results: To test the hypothesis, I conducted three analyses with a sample of N = 155 participants. First, I calculated a raw Pearson correlation between I/E and WTP. This yielded a large effect, r = 0.44, 95%CI [0.31, 0.56], p < .001. To check the robustness of this effect, I calculated a general linear model, where I controlled for sex, age, and aspiration index. Due to some missing values, these models were run with N = 141. Also in this regression, the effect of I/E remained relatively large, b = 0.66, SE = 0.14, beta = 0.38, t = 4.52, p < .001, R² change = .112. Finally, I created three groups based on a tercile split. If the regression results are robust, they should also show in an ANOVA with three groups (again controlling for sex, age, and aspiration). Indeed, we found the effect, F(2,135) = 12.81, p < .001, partial eta² = 0.16. The difference between the least intrinsic (M = 3.28, SE = 0.08) and medium-intrinsic group (M = 3.52, SE = 0.09) were non-significant after Bonferroni correction, b = 0.24, SE = 0.12, t = 2.04, p = .130, d = 0.43, but the one between the medium-intrinsic and highly intrinsic group (M = 3.91, SE = 0.09) was, b = 0.38, SE = 0.12, t = 3.17, p = .006, d = 0.68. The effect between the least and highly intrinsic group was large, b = 0.62, SE = 0.12, t = 5.03, p < .001, d = 1.11.","The claim that ""higher endorsement of intrinsic relative to extrinsic values was indeed related to a higher willingness to pay to protect the environment"" (Hypothesis: The higher participants' intrinsic values (vs. extrinsic values), the more she is willing to pay for the environment.) could be verified and was robust using three different methods (raw correlations, GLM regression with metric I/E score, GLM Anova with categorial I/E variable)",The results show evidence for the relationship/effect as described in the claim provided in your task,5,5,13,Same conclusion
