task2_timestamp,analyst_id,paper_id,task2_software,task2_analysis_report,type_of_statistic,statistic_report,model_sample_size,model_degrees_of_freedom,p_value_or_bayes,p_value_report,task2_conclusion,direction_of_result,same_statistical_result_as_task1,additional_calculations,total_hours,task2_submission_number
2022-04-05T18:12:01Z,Q9PO7,Hou_ChildDev_2017_YOXl,MPlus,"Same as taske 1:  
Method.
I will first conduct descriptive tests for statistical assumptions (skewness and Kurtosis) to check for normality. Next, I evaluated missing data bias by conducting the Little's Missing Completely at Random (MCAR) Test. Finally, I will run a path model and test for the hypothesized path model (see Hou et al., 2017, p. 320). A path model will be used because the hypothesized model involves two outcome variables and two serial mediators, and the hypothesized model considers both actor and partner effects on children. Path analysis can estimate these effects simultaneously. I will test this model without controlling for any covariates (e.g., age, gender etc.) because I hope to simply examine the hypothesized model from the original paper. If the path model yields a good fit to the data, I will test the hypothesized indirect effects 5,000 bootstrapping resamples. Specifically, I will test the two hypothesized indirect links: Paternal perceived discrimination at Wave 1  paternal depressive symptoms at Wave 1  Maternal hostility toward adolescents at Wave 2  adolescent's adjustment at Wave 2 (depressive symptoms and delinquent behaviour, respectively). And 5,000 bootstrap resampling will be applied to account for potential bias in the indirect effects. 

The path analysis will be conducted using Mplus, which follows the original paper. Mplus uses the full information maximum likelihood estimation method to handle missing data, which enables the full usage of all available data in the path analyses. Maximum likelihood estimation with robust standard errors (MLR) was used, which can also address the potential non-normality of variables (i.e., depressive symptoms and delinquent behaviours) in the model. In path analyses, both direct and indirect effects are estimated simultaneously. Inferences for the indirect effects were estimated using bootstrap resampling.

Analysis
        First, the normality assumption for the outcome variables (i.e., depressive symptoms and delinquent behaviours) is not met (skewness = .1.01 and 2.28, SEM = .13 and 13; kurtosis = 0.83 and 10.24, SEM = .26 and .26). Specifically, the data is heavily tailed with extreme outliers as most students reported a low level of delinquency. Nevertheless, this form of non-normality is accommodated MLR estimation used in Mplus (B. Muthén et al., 2016). 

Next, Little's MCAR test for missing data (using all available data) shows that the missing is not at random (Chi-Square = 907.771, df = 815, p = .013), and it is mainly driven by parents' age. When parents' age was not included from the missing data analysis, the Little's MCAR shows that the missing is random (Chi-Square = 663.278, df = 641, p = .263). Given that parents' age is not part of the main analysis, this missing pattern (of parents' ages) is acceptable for testing the hypothesized model, and the missing data will be handled using full information maximum likelihood (FIML) in the path model.

Finally, I tested the hypothesized path model using Mplus. The model fit the data only well, Chi-Square (20) = 17.63, p = .612, comparative fit index (CFI) = 1.00, root mean square error of approximation (RMSEA) = .000 [.000, .036], standard root-mean-square residual (SRMR) = .025. Next, I tested the hypothesized indirect effects. First, I tested this indirect link: paternal perceived discrimination Wave 1 --> paternal depressive symptoms Wave 1 --> Maternal hostility toward adolescents Wave 2 --> adolescent's depressive symptoms Wave 2. This indirect effect was significant, b =  0.019, SE = 0.009, p = .034, 95% CI = [0.005, 0.040]. 
Second, I tested this indirect link: paternal perceived discrimination Wave 1 --> paternal depressive symptoms Wave 1 -->  Maternal hostility toward adolescents Wave 2 --> adolescent's delinquent behaviours Wave 2. This indirect effect was also significant, b = 0.007, SE = .004,  p = 0.045, 95% CI = [0.001, 0.016].",The hypotehsized indirect effect is tested using non-parametric test (5000 bootstrapping test),"95% CI = [0.005, 0.040]; Est./S.E. = 2.097",444,df = 20 (this is the df for the path model),p-value,"The indirect effect is based on the 95% CI = [0.005, 0.040].","The results supported the original hypothesis, such that paternal perceived discrimination at Wave 1 indirectly predicted adolescent's adjustment (depressive symptoms and delinquent behaviors) at Wave 2 via paternal depressive symptoms at Wave 1 and maternal hostility toward children Wave 2.",Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",15,1
2022-04-05T21:44:48Z,6YWS5,Linkenauger_PsychologSci_2009_7WjP,R,"The dataset included actual and perceived lengths for the left and right arm, as well as the participant's handedness. I recalculated the ratio of perceived/actual length for each measurement to avoid duplicating any errors that existed in the original dataset's ratios.

I tested the hypothesis that the ratio of perceived/actual arm length will differ by arm for right-handed individuals using a paired-samples t-test with only the data from the right-handed individuals. I reasoned that this was the simplest possible model that reflected the target claim. There was no significant effect of arm on the perceived/actual ratio, t(14) = 2.1232, p = 0.05205",t-statistic,2.123,15,14,p-value,0.05205,There is no significant difference between the perceived/actual length ratio for left vs. right arms in right-handed individuals.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",2,2
2022-04-05T22:26:32Z,GNUQA,GROSSMAN_AmPoliSciRev_2014_LyWB,Stata,"Following the instructions in the task 2, the relevant parameters were disregarded in the additional analysis: the results of previous elections and the  possibility that a contagion effect or unobserved location-related effects. Other parameters which were requested to be disregarded were not related to the analyzed claim. Updated random-effects probit regression and random-effects complementary log-log model were run in Stata. The Wald test was performed for both models.",Wald test,67.30,434,426,p-value,0.0000,The additional analysis reveals similar relationships between the dependent and independent variables to the one in the original study.,Same as claimed by the original study,No,Yes,5,3
2022-04-06T00:27:08Z,2898B,Luttrell_JournExpSocPsych_2016_rjb,R,"The data for study 1 was directly imported from the OSF website for the project into R. Study 1 examines a 1-month attitude change in organic food among 174 participants. 

The following metrics were calculated for both study 1. 
Pre- and post- attitude were calculated by taking the averages of three items respectively. Pre-attitude and post-attitude were attitudes at time 1 and time 2 (one month apart). 
Change in attitude was calculated by taking the absolute difference between pre- and post-attitude. 
The extremity of pre-attitude was calculated by taking the absolute value of pre-attitude minus the middle point. 
Certainty of the attitude was measured by taking the averages of seven items.
Objective ambivalence was calculated according to the similarity intensity model(Thompson et al., 1995): [(C + D) / 2]−(D−C) where D =  max(positive reactions, negative reactions) and C = min(positive reactions, negative reactions). 

I did a simple slope analysis to predict attitude change from certatiny when objective ambivalence is low (-1SD), controlling for pre-attitude extremity.",t-statistic,-0.712,174,169,p-value,0.477,"The claim of this project is “greater certainty was associated with greater stability across different time points as ambivalence decreased... (p. 56.)”. This main claim is not supported in study 1. A simple slope analysis does not show that when ambivalence is low (-1SD), greater certainty was associated with greater attitude stability.",Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",6,4
2022-04-06T09:04:50Z,GS2H9,Ku_JournEnvPsych_2014_YpZZ,Jamovi,"The preprocessing and analysis from Task 1 satisfied the requirements for Task 2. I applied linear regression with the control variables sex, age, and Aspiration Index as these seemed to be relevant control variables in the paper.",t-statistic,4.623,141,136,p-value,0.001,The hypothesis that the intrinsic-extrinsic score predicts willingness to pay was supported by the data.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",4,5
2022-04-06T14:38:53Z,V7XQ8,Savani_PsychologSci_2010_88xa,SPSS,The steps required for task two were identical to the steps I took in task one as my results already satisfied the requirements.,F-statistic,"F (1, 123) = 6.124, p = .015",127,3,p-value,.015,The analysis was replicated.,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",1,6
2022-04-06T19:51:14Z,30S6Z,Ihme_JournExpPoliSci_2018_xYbO,R,"Following the original authors' note, I excluded participants who a) indicated they had cheated on the political knowledge test, b) interrupted their experimental session, c) were not Germans and d) did not indentify as males/females. Next, I coded the variables of interest into factors (i.e., gender, stereotype activation) and into numerical variables (i.e., political interest). Following the instructions for Task 2, I ran an Anova with political knowledge scores as dependent variable, gender and stereotype activation conditions as independent variables and score on the political interest scale as a covariate. According to the instructions for Task 2, field of study was not included in the analysis. Results indicated a significant interaction between gender and stereotype activation (F(2,370) = 4.968, p=0.007). A posthoc comparison corrected for multiple comparisons revealed that women performed significantly better in the control condition than in the stereotype activated by gender statement condition (t = 2.414, p=0.048).",t-statistic,t = 2.414,377,370,p-value,p=0.048,"Based on the reported analysis, women seem to perform significantly bettter in the political knowledge test in the control condition than in the stereotype activated by gender statement condition.",Same as claimed by the original study,No,Yes,2.5,7
2022-04-06T21:54:32Z,WJVLO,Pastötter_Cognition_2013_EQxa,JASP,"I subset the data set to include only the active-frame condition. Then I performed an independend sample t-test, comparing the decision between the mood conditions. Since the original paper reported a Mann-Whitney p-value, I also selected the Mann-Whitney test as an option.",t-statistic,3.551,200,198,p-value,<0.001,Utilitarian responding was more likely in positive moods than in negative moods in the active-frame condition.,Same as claimed by the original study,No,Yes,1.5,8
2022-04-07T18:04:07Z,T2AYX,Linkenauger_PsychologSci_2009_7WjP,JASP,"Statistical analyses were performed to test the following hypothesis: “When looking at each arm and hand individually, right-handed participants perceived their right arms and right hands to be longer than their left arms and left hands, whereas left-handed participants perceived both arms accurately”.

The statistical analysis was carried out on 15 right-handed (6 women) and 15 left-handed (7 women) students at the University of Virginia.

The ratio of perceived arm length to actual arm length was submitted to repeated measures analysis of variance (ANOVA) with Arm (right, left) as a within-subject factor and Handedness (right-handed, left-handed) as a between-subject factor. Post-hoc comparisons (Tukey) were employed to further examine significant effects. The level of significance testing was p = .05. 

The ANOVA showed no significant main effects of Arm [F(1,28) = 1.37 p = .252 , ηp2 = .05] and Handedness [F(1,28) = 1.10, p = .303 , ηp2 = .04], while revealed a significant Arm by Handedness interaction [F(1,28) = 4.74, p = .038, ηp2 = .15]. Post-hoc comparisons did not show any significant difference [all ps > .1], did not support the hypothesis that right-handed participants perceive their right arms/hands to be longer than their left arms/hands [p = .107].",F-statistic,0.107,30,1; 28,p-value,0.107,The analysis did not confirm the hypothesis under investigation,Same as claimed by the original study,Yes,"No, I already had the neccessary calculations in Task 1",5,9
2022-04-08T10:48:15Z,GOQ0F,Steinmetz_JournPerSocPsy_2016_E4Am,R,"[This section follows on the section provided as part of Task 1, see report on OSF for the entire explanation in one document]: If one were to select one single pathway that best matches the claim selected by the Multi100-team (i.e., “participants who were observed while eating ... recalled eating a larger portion than unobserved participants”), it would arguably be one that involves condition as the critical independent variable. After all, the selected claim refers to being observed rather than the perception of being observed (which is claimed elsewhere in the manuscript), hence the condition variable may be more appropriate for the current purpose. Furthermore, Welch’s t-test does not require homogeneity of variance (an assumption that may be violated), hence that option could be considered preferable. With regard to the exclusion criteria, as argued above, removing
participants who did not finish their portion offers a more stringent test of the underlying claim, compared to the other two options (i.e., excluding only participants who ate “a bit” or “none”, or no exclusion at all). The result of that single pathway analysis is the following: ∆ M = 0.75, 95% CI [0.06, ∞ ], t (57.96) = 1.83, p = .037.",t-statistic,1.825,70,57.96,p-value,.037,Did not change compared to Task 1,Same as claimed by the original study,No,"No, I already had the neccessary calculations in Task 1",8,10
