analyst_id,paper_id,original_claim,task1_conclusion,task2_conclusion,is_it_opposite,coded_by,notes
018OL,Teney_EurSocioRev_2016_qXX2,... poor economic performances ... decrease positive dimensions of EU framing. (p. 619.),Economic performance as measured by GDP per capita significantly predicts positive dimensions of EU framing.,Economic performance as measured in unemployment rate did not predict  positive non-materialist form of EU framing.,Yes,Marci,I flag no effect as yes
0RNST,Thames_CompPolitStu_2010_l22v,systems with weak incentives for personal votes (party-centered systems) increase women’s representation in comparison with systems that feature strong incentives for personal votes (candidate-centered systems) (p. 1575),"Systems with weak incentives for personal votes (party-centered systems) increase women‚Äôs representation in comparison with systems that feature strong incentives for personal votes (candidate-centered systems). H1: ballot (p>0.338), H2: pool (p>0.164), H3: vote (p>0.023), H4: all (p>0.015). Other factors were statistically significant and positively correlated with women‚Äôs representation, such as the log of GDP per capita, the % of female labor force participation, the years since suffrage, and the log district magnitude. Not statistically significant were Govt. spending as % of GDP, legislative seats, and left vote.","Systems with weak incentives for personal votes (party-centered systems) increase women’s representation in comparison with systems that feature strong incentives for personal votes (candidate-centered systems). Factors that come as statistically significant and positively correlated with women’s representation are the log of GDP per capita, the % of female labor force participation, the years since suffrage, and the log district magnitude. However, the Govt. spending as % of GDP, the legislative seats, nor the left vote, were statistically significant. Nor was the amount of party control over nominations (ballot), with (p<0.338), which was the H1 hypothesis in Task2.",Yes,Marci,"Here, there is a mixed effect which could be flagged as ambiguous regarding effects but taking only the claims, they are not opposites. Non-significant effect can be conisdered OK."
0ZI5H,Wilde_AmSocioRev_2010_4XLv,"These characteristics [other crucial characteristics of the social environment within which leaders operate], which we derive from Neo-Institutional Theory (NIT) ... lead them [leaders] to prioritize concerns about their institutions’ legitimacy over the concerns about efficiency ... (p. 586.)","According to the result of ordered regression, bishops who live in a higher structuration country would significantly have a higher possibility (odd ratio: 2.5209) to progressive vote while their RCT variables significantly but less affect (national religion: 0.2039, market share: 0.9975). However, although we could claim that **PART OF** NIT characteristics prioritize bishops' *institutions' legitimacy* concerns over *efficiency* concern, the real relationship is more complicated than this simple claim, especially in interaction and variables' causal mechanisms. Moreover, structuration, market share and religion monopoly are far from enough as the manifest variables to confirm RCT and NIT.","We could see in this Revelation model, the SE-adjusted coefficient showed bishops who live in a higher market share country would significantly have a higher possibility to progressive vote on revelation issue (odd ratio: approximately 100%) while possibly living in a higher structuration country only contribute 9.88%. We did a t-test to compare these two coefficients manually and the result positively support that a low possibility to accept H0 ""these two coefficient are the same"" in the NHST framework (t = 4.12, p = 0.0000403 << 0.05). Considering the odds ratios, I would reject the original claim overall ""These characteristics [other crucial characteristics of the social environment within which leaders operate], which we derive from Neo-Institutional Theory (NIT) ... lead them [leaders] to prioritize concerns about their institutions’ legitimacy over the concerns about efficiency ... (p. 586.)."".",Yes,Marci,NA
19LM1,TERTYTCHNAYA_AmPoliSciRev_2018_9wya,increases in remittances led to an increase in trust in the president (p. 770.),"In my main analysis, I could not replicate the claim that an ‚Äúincreases in remittances led to an increase in trust in the president‚Äù. Considering my supplementary analyses and also the replication of the analyses from the original paper, I still assume that the claim does not hold. Particularly, I could only find a significant relation when entering controls (except for change in remittances frequency).","These results indicate that change in amount of remittance has no influence on change in trust in the president (B = .036, SE = .022, t = 1.636, p = .102). Thus, I could not replicate the claim that an “increases in remittances led to an increase in trust in the president”.",Yes,Marci,NA
204TY,Cohen_AmEcoRev_2015_2lb5,... a very high subsidy ... increases access [to antimalarials] (p. 609.),The claim ‚Äúa very high subsidy ... increases access [to antimalarials] (p. 609.)‚Äù is not supported by basic Bayesian inference tests of the data.,The claim “a very high subsidy ... increases access [to antimalarials] (p. 609.)” is not supported by basic Bayesian inference tests of the data.,Yes,Marci,NA
2XTEW,Sliwka_JournLabEco_2017_VDJV,A profile that continuously increases wages by small amounts raises performance ... relative to a constant wage. (p. 299.),A profile that continuously increases wages by small to modest amounts raises performance relative to a constant wage.,There is no evidence to suggest that steady increases in wage increase worker productivity relative to a constant wage baseline,Yes,Marci,NA
3B7KH,Antràs_Econometrica_2013_a2Yx,"We uncover a positive ... relationship between each of the measures of downstreamness and the intrafirm import share in a given sector, with this relationship emerging only for high values of the demand elasticity faced by buyer industries (p. 2132.)","The effects of downstreamness on intrafirm trade shares' conditional expectancy and conditional variance depends on what measure of downstreamness is used, being these effects moderated by the demand elasticity for all the tested measures of downstreamness.",There is no effect of downstreamness on intrafirm trade shares.,Yes,Marci,NA
41LW9,Hertel_ClinPsychSci_2018_YabW,Nonruminators’ responses in the ... transfer tasks revealed that suppression practice can be beneficial (p. 879.),The evidence supports the main claim but weakly.,Overall model reveals an interaction that  does not result in pairwise significant differences,Yes,Marci,NA
4COYD,Beaman_JournLabEco_2018_7ybJ,"CA [conventional applicant] men are less likely to refer women than CA women
(pp. 132-133.)","When considering only referring woman, CA Men are just as likely as CA women to refer women","Male and female are as likely to refere male, female or both sex.",Yes,Marci,NA
4ST8R,Brancati_JournConflictRes_2013_V0PA,... holding elections soon after a civil war ends ... increases the likelihood of renewed fighting ...(p. 822.),Our results did not show an effect of postconflict election timing on the recurrence of civil war,Postconflict election timing had not a significant effect on the recurrence of civil war,Yes,Marci,NA
