paper_id,original_type_of_statistic,original_statistic_report,degrees_of_freedom_1,degrees_of_freedom_2,original_model_sample_size,correlation_coef,cohens_d,comment_on_reproduction_materials
Andreoni_JournPoliEco_2017_La9x,t,"3,5781",15,NA,64,"0,6786","1,8477",NA
Cohen_AmEcoRev_2015_2lb5,t,"4,8822",574,NA,631,"0,1997","0,4076",NA
Baker_WorldPolitics_2011_9lBL,t,"-2,5394","27,86",NA,48,"-0,4335","-0,9622",NA
Caldero_n_JournConflictRes_2015_Nv99,z,"2,4738",NA,NA,2989,"0,0452","0,0906",updated based on log file
GROSSMAN_AmPoliSciRev_2014_LyWB,z,"-3,9515",NA,NA,428,"-0,1894","-0,3857",NA
Luttrell_JournExpSocPsych_2016_rjb,t,"2,2823",169,NA,174,"0,1729","0,3511",NA
ANN_SLOCUM_Criminology_2010_JxXe,z,"-2,1392",NA,NA,1354,"-0,0581","-0,1165",NA
Angrist_AmEcoRev_2009_Gv3O,t,"1,7226",1857,NA,1861,"0,0399","0,0799",NA
Baccara_AmEcoJourn_2014_RqVE,z,"4,2303",NA,NA,871215,"0,0045","0,0091",updated; eventually found the result in the thousands of estimates
Barreca_JournPoliEco_2016_J999,t,"-3,9098",48,NA,26411,"-0,4915","-1,1287",updated/corrected/verified based on reproduction materials
Beaman_JournLabEco_2018_7ybJ,F,"10,285",1,218,220,"0,2123","0,4344",NA
Behrman_JournPoliEco_2015_G55r,t,"5,4286",86,NA,11314,"0,5052","1,1708",NA
Bruner_ExpEco_2017_amYY,t,"-4,5772",77,NA,79,"-0,4625","-1,0432",updated/corrected/verified based on reproduction materials
Bursztyn_JournPoliEco_2012_jaK4,t,"6,3676",10,NA,156,"0,8956","4,0272",NA
Clark_JournPoliEco_2009_e5rW,t,"3,1232",700,NA,726,"0,1172","0,2361",NA
Liang_JournPoliEco_2018_q8xv,t,"-5,7122",81,NA,393,"-0,5359","-1,2694",double-checked (based on reproduction material) ~~> accurate
Lu_JournLabEco_2015_vaWE,t,"2,7693",11,NA,245,NA,NA,NA
McDevitt_JournPoliEco_2014_yQeR,t,"-6,7881",2291,NA,2293,NA,NA,Elza's coding is accurate (verified based on reproduction materials)
Sliwka_JournLabEco_2017_VDJV,t,"2,1313",206,NA,211,"0,1469","0,2970",NA
Wang_AmEcoJourn_2013_7d4J,t,"-2,0248",10214,NA,13292,NA,NA,updated/corrected based on reproduction materials
Dumas_AcaManageJourn_2018_5KrD,t,"-2,3614",348,NA,353,"-0,1256","-0,2532",verfied (reproduced using Stata)
Bartels_JournConsRes_2015_mrZ,z,"2,1418",NA,NA,88,"0,2282","0,4688",updated/corrected/reestimated based on reproduction materials
Liu_JournMarket_2015_9DZl,F,"8,4988",1,47,49,"0,3913","0,8505",double-checked; updated with more precise estimate
Yang_JournMarketRes_2013_G1Lr,t,"3,4297",99,NA,101,"0,3259","0,6894",double-checked; updated with more precise estimate
LINDQVIST_AmPoliSciRev_2010_OeGv,t,"-3,5133",30,NA,33,"-0,5399","-1,2829",NA
Brancati_JournConflictRes_2013_V0PA,z,"-1,8342",NA,NA,94,"-0,1899","-0,3869",NA
Fuhrmann_JournConflictRes_2010_8Wy0,z,"2,8287",NA,NA,5360,"0,0386","0,0773",NA
Gartzke_JournConflictRes_2009_rym8,z,"5,0400",NA,NA,213454,"0,0109","0,0218",NA
Grose_AmJourPoliSci_2015_E0Q3,chi²,"4,5000",1,NA,56,"0,2834","0,5911",NA
